date,SMA
2011-06-28,38.7095
2011-06-29,38.51
2011-06-30,38.351
2011-07-01,38.3025
2011-07-05,38.385
2011-07-06,38.4135
2011-07-07,38.514
2011-07-08,38.558
2011-07-11,38.517
2011-07-12,38.522
2011-07-13,38.4515
2011-07-14,38.4295
2011-07-15,38.4835
2011-07-18,38.4815
2011-07-19,38.5075
2011-07-20,38.457
2011-07-21,38.4765
2011-07-22,38.5505
2011-07-25,38.587
2011-07-26,38.671
2011-07-27,38.697
2011-07-28,38.66
2011-07-29,38.707
2011-08-01,38.7775
2011-08-02,38.6525
2011-08-03,38.5445
2011-08-04,38.1585
2011-08-05,37.77
2011-08-08,37.2695
2011-08-09,36.9415
2011-08-10,36.5745
2011-08-11,36.3795
2011-08-12,36.17
2011-08-15,36.025
2011-08-16,35.802
2011-08-17,35.5175
2011-08-18,35.0155
2011-08-19,34.4375
2011-08-22,33.9595
2011-08-23,33.505
2011-08-24,33.1445
2011-08-25,32.788
2011-08-26,32.4075
2011-08-29,32.1255
2011-08-30,31.959
2011-08-31,31.827
2011-09-01,31.8475
2011-09-02,31.7975
2011-09-06,31.979
2011-09-07,32.084
2011-09-08,32.195
2011-09-09,32.0535
2011-09-12,31.9295
2011-09-13,31.858
2011-09-14,31.8915
2011-09-15,31.9805
2011-09-16,32.228
2011-09-19,32.475
2011-09-20,32.6255
2011-09-21,32.5775
2011-09-22,32.4285
2011-09-23,32.331
2011-09-26,32.1885
2011-09-27,31.9335
2011-09-28,31.619
2011-09-29,31.219
2011-09-30,30.7445
2011-10-03,30.344
2011-10-04,30.033
2011-10-05,29.6405
2011-10-06,29.3425
2011-10-07,29.109
2011-10-10,28.9005
2011-10-11,28.6775
2011-10-12,28.448
2011-10-13,28.1665
2011-10-14,27.9265
2011-10-17,27.6925
2011-10-18,27.519
2011-10-19,27.421
2011-10-20,27.4
2011-10-21,27.5275
2011-10-24,27.694
2011-10-25,27.751
2011-10-26,27.9495
2011-10-27,28.2965
2011-10-28,28.8
2011-10-31,29.238
2011-11-01,29.5495
2011-11-02,29.9055
2011-11-03,30.259
2011-11-04,30.6835
2011-11-07,31.0605
2011-11-08,31.405
2011-11-09,31.673
2011-11-10,32.0235
2011-11-11,32.3675
2011-11-14,32.732
2011-11-15,33.0635
2011-11-16,33.468
2011-11-17,33.858
2011-11-18,34.0335
2011-11-21,34.1425
2011-11-22,34.0945
2011-11-23,33.924
2011-11-25,33.677
2011-11-28,33.4475
2011-11-29,33.3225
2011-11-30,33.3505
2011-12-01,33.3105
2011-12-02,33.2275
2011-12-05,33.163
2011-12-06,33.1085
2011-12-07,33.0085
2011-12-08,32.9365
2011-12-09,32.842
2011-12-12,32.652
2011-12-13,32.47
2011-12-14,32.259
2011-12-15,32.048
2011-12-16,31.891
2011-12-19,31.7245
2011-12-20,31.645
2011-12-21,31.8045
2011-12-22,32.0325
2011-12-23,32.2495
2011-12-27,32.4025
2011-12-28,32.497
2011-12-29,32.504
2011-12-30,32.508
2012-01-03,32.5415
2012-01-04,32.5925
2012-01-05,32.6195
2012-01-06,32.695
2012-01-09,32.78
2012-01-10,32.9685
2012-01-11,33.2245
2012-01-12,33.5745
2012-01-13,33.985
2012-01-17,34.4045
2012-01-18,34.8335
2012-01-19,35.2735
2012-01-20,35.6225
2012-01-23,35.9415
2012-01-24,36.2955
2012-01-25,36.657
2012-01-26,37.023
