date,ULTOSC
2011-05-10,33.6974
2011-05-11,33.3126
2011-05-12,33.2148
2011-05-13,29.6292
2011-05-16,28.6911
2011-05-17,34.1165
2011-05-18,41.7249
2011-05-19,40.6454
2011-05-20,39.4802
2011-05-23,41.9037
2011-05-24,48.6121
2011-05-25,57.7873
2011-05-26,58.6354
2011-05-27,57.9523
2011-05-31,61.4882
2011-06-01,56.5606
2011-06-02,55.7082
2011-06-03,51.2814
2011-06-06,42.7707
2011-06-07,41.1554
2011-06-08,39.8602
2011-06-09,39.2757
2011-06-10,43.0484
2011-06-13,40.6866
2011-06-14,47.5122
2011-06-15,47.0174
2011-06-16,44.4702
2011-06-17,41.5574
2011-06-20,40.5222
2011-06-21,48.2717
2011-06-22,50.5044
2011-06-23,51.0638
2011-06-24,51.5772
2011-06-27,56.2718
2011-06-28,58.8644
2011-06-29,56.4536
2011-06-30,52.6651
2011-07-01,53.9847
2011-07-05,54.4599
2011-07-06,59.3764
2011-07-07,63.7045
2011-07-08,63.5273
2011-07-11,56.1091
2011-07-12,54.5138
2011-07-13,54.3547
2011-07-14,48.1441
2011-07-15,49.3664
2011-07-18,41.4621
2011-07-19,37.1689
2011-07-20,41.1183
2011-07-21,47.3909
2011-07-22,53.7909
2011-07-25,51.2017
2011-07-26,52.1851
2011-07-27,50.3509
2011-07-28,49.1731
2011-07-29,57.0236
2011-08-01,54.4602
2011-08-02,44.2252
2011-08-03,50.7944
2011-08-04,45.0014
2011-08-05,48.2646
2011-08-08,45.1044
2011-08-09,48.0637
2011-08-10,46.4427
2011-08-11,52.1726
2011-08-12,51.3782
2011-08-15,53.4084
2011-08-16,51.3338
2011-08-17,54.6254
2011-08-18,42.3207
2011-08-19,39.5632
2011-08-22,33.2821
2011-08-23,34.8742
2011-08-24,39.5063
2011-08-25,39.4314
2011-08-26,47.6301
2011-08-29,58.8709
2011-08-30,61.8263
2011-08-31,64.7688
2011-09-01,61.6211
2011-09-02,54.9788
2011-09-06,60.4452
2011-09-07,61.4224
2011-09-08,56.2462
2011-09-09,51.6306
2011-09-12,55.4422
2011-09-13,59.1031
2011-09-14,64.856
2011-09-15,62.375
2011-09-16,62.2661
2011-09-19,59.7299
2011-09-20,59.3443
2011-09-21,46.9771
2011-09-22,48.6721
2011-09-23,47.0626
2011-09-26,48.65
2011-09-27,43.2067
2011-09-28,39.5172
2011-09-29,40.3414
2011-09-30,39.3598
2011-10-03,32.7106
2011-10-04,39.8499
2011-10-05,38.0979
2011-10-06,42.3933
2011-10-07,42.0691
2011-10-10,45.5865
2011-10-11,54.5268
2011-10-12,56.6056
2011-10-13,50.2585
2011-10-14,50.7985
2011-10-17,45.792
2011-10-18,52.2972
2011-10-19,49.6308
2011-10-20,52.7003
2011-10-21,63.2248
2011-10-24,65.7601
2011-10-25,59.3605
2011-10-26,63.2173
2011-10-27,65.5058
2011-10-28,68.0121
2011-10-31,60.3858
2011-11-01,58.6392
2011-11-02,57.6859
2011-11-03,63.5847
2011-11-04,64.546
2011-11-07,64.1716
2011-11-08,67.2428
2011-11-09,71.1857
2011-11-10,72.1502
2011-11-11,72.6013
2011-11-14,65.7592
2011-11-15,58.6184
2011-11-16,56.1309
2011-11-17,56.0214
2011-11-18,53.8332
2011-11-21,50.4227
2011-11-22,34.3557
2011-11-23,31.959
2011-11-25,32.553
2011-11-28,36.1391
2011-11-29,36.2277
2011-11-30,44.6523
2011-12-01,42.2563
2011-12-02,51.0067
2011-12-05,58.3341
2011-12-06,60.6388
2011-12-07,56.2559
2011-12-08,54.4898
2011-12-09,53.9629
2011-12-12,50.9456
2011-12-13,52.0241
2011-12-14,48.046
2011-12-15,46.8987
2011-12-16,52.3072
2011-12-19,49.9643
2011-12-20,50.1425
2011-12-21,54.3278
2011-12-22,55.0155
2011-12-23,59.4654
2011-12-27,59.8499
2011-12-28,52.8066
2011-12-29,58.749
2011-12-30,49.9324
2012-01-03,49.4226
2012-01-04,59.5315
2012-01-05,58.6806
2012-01-06,58.8182
2012-01-09,59.5728
2012-01-10,67.1648
2012-01-11,64.1361
2012-01-12,64.7289
2012-01-13,65.9162
2012-01-17,63.6263
2012-01-18,65.4399
2012-01-19,63.5557
2012-01-20,59.5876
2012-01-23,59.0133
2012-01-24,61.216
2012-01-25,62.0974
2012-01-26,63.3641
2012-01-27,64.3235
2012-01-30,73.5252
2012-01-31,73.9748
2012-02-01,76.9057
2012-02-02,70.693
2012-02-03,72.2117
2012-02-06,76.4348
2012-02-07,76.7649
2012-02-08,71.859
2012-02-09,65.9965
2012-02-10,63.4091
2012-02-13,67.6619
2012-02-14,57.1065
2012-02-15,52.5842
2012-02-16,52.8398
2012-02-17,51.1653
2012-02-21,49.3977
2012-02-22,53.4795
2012-02-23,52.5658
2012-02-24,58.2701
2012-02-27,60.7166
2012-02-28,55.0781
2012-02-29,51.9949
2012-03-01,56.1482
2012-03-02,50.8896
2012-03-05,43.9904
2012-03-06,35.1777
2012-03-07,39.9066
2012-03-08,48.6492
2012-03-09,48.0809
2012-03-12,44.8436
2012-03-13,49.707
2012-03-14,52.5707
2012-03-15,58.2736
2012-03-16,56.1631
2012-03-19,51.071
2012-03-20,58.6726
2012-03-21,66.6031
2012-03-22,52.1751
2012-03-23,56.7372
